date,location_name,pm25
2024-02-16,Brighton,6.769041666666666
2024-02-16,Dandenong,6.337875
2024-02-16,Melbourne CBD,8.943249999999999
2024-02-16,Melton,6.7345
2024-02-16,Traralgon,6.766541666666667
2024-02-17,Alphington,8.47125
2024-02-17,Brighton,9.099583333333333
2024-02-17,Dandenong,7.585166666666667
2024-02-17,Melbourne CBD,9.732875
2024-02-17,Melton,6.270291666666667
2024-02-17,Traralgon,7.310666666666666
2024-02-18,Alphington,2.1776666666666666
2024-02-18,Brighton,2.984875
2024-02-18,Dandenong,1.2857916666666667
2024-02-18,Melbourne CBD,2.8778333333333332
2024-02-18,Melton,2.047875
2024-02-18,Traralgon,2.0735833333333336
2024-02-19,Alphington,3.309041666666667
2024-02-19,Brighton,3.406833333333333
2024-02-19,Dandenong,3.345125
2024-02-19,Melbourne CBD,5.826666666666666
2024-02-19,Melton,2.9600833333333334
2024-02-19,Traralgon,3.889125
2024-02-20,Alphington,7.8835
2024-02-20,Brighton,8.775083333333333
2024-02-20,Dandenong,7.040125000000001
2024-02-20,Melbourne CBD,10.075833333333334
2024-02-20,Melton,7.768208333333334
2024-02-20,Traralgon,5.951583333333334
2024-02-21,Alphington,6.660375
2024-02-21,Brighton,7.675125
2024-02-21,Dandenong,5.735125
2024-02-21,Melbourne CBD,7.250333333333333
2024-02-21,Melton,6.047875
2024-02-21,Traralgon,8.008000000000001
2024-02-22,Alphington,6.235291666666667
2024-02-22,Brighton,7.020083333333333
2024-02-22,Dandenong,6.497833333333333
2024-02-22,Melbourne CBD,8.1955
2024-02-22,Melton,5.36775
2024-02-22,Traralgon,6.82825
2024-02-23,Alphington,8.258625
2024-02-23,Brighton,9.483041666666667
2024-02-23,Dandenong,7.258125
2024-02-23,Melbourne CBD,10.733375
2024-02-23,Melton,6.3389999999999995
2024-02-23,Traralgon,6.731173913043478
2024-02-24,Alphington,11.439541666666667
2024-02-24,Brighton,9.642791666666666
2024-02-24,Dandenong,10.322083333333333
2024-02-24,Melbourne CBD,12.414708333333333
2024-02-24,Melton,8.823208333333334
2024-02-24,Traralgon,9.297291666666666
2024-02-25,Alphington,11.616125
2024-02-25,Brighton,13.515208333333334
2024-02-25,Dandenong,12.511916666666668
2024-02-25,Melbourne CBD,14.202333333333334
2024-02-25,Melton,14.350708333333333
2024-02-25,Traralgon,12.561625
2024-02-26,Alphington,5.422958333333333
2024-02-26,Brighton,6.22975
2024-02-26,Dandenong,5.43825
2024-02-26,Melbourne CBD,6.297666666666666
2024-02-26,Melton,3.795909090909091
2024-02-26,Traralgon,5.777583333333333
2024-02-27,Alphington,10.506041666666667
2024-02-27,Brighton,9.390555555555554
2024-02-27,Dandenong,8.658791666666666
2024-02-27,Melbourne CBD,13.347583333333333
2024-02-27,Melton,9.152875
2024-02-27,Traralgon,6.3125
2024-02-28,Alphington,10.131208333333333
2024-02-28,Brighton,12.543875
2024-02-28,Dandenong,10.938125
2024-02-28,Melbourne CBD,12.0525
2024-02-28,Melton,12.278583333333334
2024-02-28,Traralgon,7.912388888888889
2024-02-29,Alphington,8.346833333333334
2024-02-29,Brighton,10.107791666666667
2024-02-29,Dandenong,8.109125
2024-02-29,Melbourne CBD,10.970583333333334
2024-02-29,Melton,5.017291666666667
2024-02-29,Traralgon,9.687125
2024-03-01,Alphington,6.353041666666667
2024-03-01,Brighton,6.688458333333333
2024-03-01,Dandenong,4.6749583333333335
2024-03-01,Melbourne CBD,8.493666666666666
2024-03-01,Melton,4.031208333333334
2024-03-01,Traralgon,5.849166666666667
2024-03-02,Alphington,6.4418750000000005
2024-03-02,Brighton,6.475583333333334
2024-03-02,Dandenong,6.48175
2024-03-02,Melbourne CBD,8.936208333333333
2024-03-02,Melton,4.9904166666666665
2024-03-02,Traralgon,6.381904761904762
2024-03-03,Alphington,8.167583333333333
2024-03-03,Brighton,8.610625
2024-03-03,Dandenong,7.135083333333333
2024-03-03,Melbourne CBD,9.523375
2024-03-03,Melton,6.12825
2024-03-03,Traralgon,7.607291666666667
2024-03-04,Alphington,8.886083333333334
2024-03-04,Brighton,9.04375
2024-03-04,Dandenong,8.906708333333333
2024-03-04,Melbourne CBD,10.452708333333334
2024-03-04,Melton,8.3735
2024-03-04,Traralgon,7.856833333333333
2024-03-05,Alphington,8.254708333333333
2024-03-05,Brighton,8.764416666666667
2024-03-05,Dandenong,8.325565217391306
2024-03-05,Melbourne CBD,11.33475
2024-03-05,Melton,5.965958333333334
2024-03-05,Traralgon,7.707125
2024-03-06,Alphington,9.008944444444445
2024-03-06,Brighton,10.537041666666667
2024-03-06,Dandenong,10.318166666666666
2024-03-06,Melbourne CBD,13.402166666666666
2024-03-06,Melton,6.276291666666666
2024-03-06,Traralgon,9.585041666666667
2024-03-07,Alphington,7.173791666666666
2024-03-07,Brighton,6.620583333333333
2024-03-07,Dandenong,6.476291666666667
2024-03-07,Melbourne CBD,9.13575
2024-03-07,Melton,5.058458333333333
2024-03-07,Traralgon,8.1785
2024-03-08,Alphington,13.90775
