latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-25.75244,151.16191,347.42,0.39,0.36,2026-03-16T00:00:00Z,1899-12-31T03:40:00Z,N,nominal,2.0NRT,297.92,10.71,D
-25.74906,151.1613,333.85,0.39,0.36,2026-03-16T00:00:00Z,1899-12-31T03:40:00Z,N,nominal,2.0NRT,298.79,10.71,D
-25.86394,149.42288,333.23,0.44,0.38,2026-03-16T00:00:00Z,1899-12-31T03:40:00Z,N,nominal,2.0NRT,297.02,3.13,D
-24.54983,148.55135,332.44,0.47,0.39,2026-03-16T00:00:00Z,1899-12-31T03:40:00Z,N,nominal,2.0NRT,301.03,5.31,D
-24.56668,145.86717,340.96,0.43,0.46,2026-03-16T00:00:00Z,1899-12-31T03:40:00Z,N,nominal,2.0NRT,306.04,2.88,D
-22.24303,148.72809,336.89,0.44,0.38,2026-03-16T00:00:00Z,1899-12-31T03:40:00Z,N,nominal,2.0NRT,300.93,3.88,D
-22.23948,148.72755,334.24,0.44,0.38,2026-03-16T00:00:00Z,1899-12-31T03:40:00Z,N,nominal,2.0NRT,302.51,3.88,D
-33.80679,122.44898,332.2,0.43,0.46,2026-03-16T00:00:00Z,1899-12-31T05:18:00Z,N,nominal,2.0NRT,301.06,4.87,D
-34.32091,117.51487,337.33,0.41,0.61,2026-03-16T00:00:00Z,1899-12-31T05:18:00Z,N,nominal,2.0NRT,294.85,7.32,D
-33.8087,122.457,333.38,0.43,0.46,2026-03-16T00:00:00Z,1899-12-31T05:18:00Z,N,nominal,2.0NRT,301.26,5.24,D
-33.80915,122.45229,342.84,0.43,0.46,2026-03-16T00:00:00Z,1899-12-31T05:18:00Z,N,nominal,2.0NRT,302.12,5.24,D
-33.81059,122.45427,341.64,0.43,0.46,2026-03-16T00:00:00Z,1899-12-31T05:18:00Z,N,nominal,2.0NRT,302.96,4.87,D
-33.80631,122.45368,341.17,0.43,0.46,2026-03-16T00:00:00Z,1899-12-31T05:18:00Z,N,nominal,2.0NRT,299.52,4.87,D
-33.78166,122.65274,344.37,0.42,0.45,2026-03-16T00:00:00Z,1899-12-31T05:18:00Z,N,nominal,2.0NRT,301.49,141.72,D
-33.80252,122.44839,343.55,0.43,0.46,2026-03-16T00:00:00Z,1899-12-31T05:18:00Z,N,nominal,2.0NRT,300.24,4.89,D
-33.7334,122.66458,343.03,0.42,0.45,2026-03-16T00:00:00Z,1899-12-31T05:18:00Z,N,nominal,2.0NRT,299.55,3.1,D
-33.76149,122.06149,331.57,0.45,0.47,2026-03-16T00:00:00Z,1899-12-31T05:18:00Z,N,nominal,2.0NRT,300.54,3.59,D
-33.76664,121.59543,331.97,0.47,0.48,2026-03-16T00:00:00Z,1899-12-31T05:18:00Z,N,nominal,2.0NRT,301.38,2.92,D
-32.00227,118.77045,331.57,0.33,0.55,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,299.13,6.89,D
-32.00256,118.76677,354.29,0.33,0.55,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,296.26,5.33,D
-31.81561,117.45927,367,0.39,0.59,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,high,2.0NRT,303.58,129.98,D
-31.81589,117.45503,367,0.39,0.59,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,high,2.0NRT,343.25,59.1,D
-31.81617,117.45081,304.98,0.39,0.59,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,low,2.0NRT,311.34,59.1,D
-31.81028,117.45476,367,0.39,0.59,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,high,2.0NRT,309.08,59.1,D
-31.81055,117.45052,356.55,0.39,0.59,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,308.13,59.1,D
-31.81247,117.45959,340.21,0.39,0.59,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,302.34,99.89,D
-31.81337,117.44692,332.19,0.39,0.59,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,297.79,15.15,D
-31.81277,117.45538,367,0.39,0.59,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,low,2.0NRT,333.13,86.13,D
-31.81307,117.45114,208,0.39,0.59,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,low,2.0NRT,322.39,86.13,D
-31.80746,117.45092,335.62,0.39,0.59,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,302.84,86.13,D
-31.79946,116.97778,348.23,0.42,0.61,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,301.1,10.02,D
-31.78824,116.97238,339.84,0.42,0.61,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,300.76,3.15,D
-31.78247,116.97207,341.43,0.42,0.61,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,302.27,3.15,D
-31.77672,116.9716,349.72,0.42,0.61,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,302.72,4.63,D
-31.68095,117.00803,355.76,0.41,0.61,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,310.42,11.11,D
-31.68126,117.0034,347.03,0.41,0.61,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,303.19,6.2,D
-31.67522,117.00749,344.78,0.41,0.61,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,299.01,11.11,D
-31.67552,117.00286,343.22,0.41,0.61,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,302.14,6.2,D
-31.52691,116.78378,367,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,high,2.0NRT,310.55,40.32,D
-31.52718,116.77919,355.4,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,307.71,27.32,D
-31.52111,116.78323,367,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,high,2.0NRT,296.41,11.71,D
-31.52138,116.77863,337.35,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,288.9,3.29,D
-31.52688,116.78532,367,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,high,2.0NRT,306.76,30.74,D
-31.52718,116.78075,357.53,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,309.97,18.86,D
-31.52749,116.77617,348.31,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,303.35,18.86,D
-31.52108,116.78481,346.09,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,296.82,9.99,D
