latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-33.36235,145.78877,330.75,0.54,0.42,2026-05-13,03:51,N,nominal,2.0NRT,299.48,5.47,D
-33.36894,145.80182,339.26,0.54,0.42,2026-05-13,03:51,N,nominal,2.0NRT,299.67,6.49,D
-33.37875,145.78537,333.69,0.54,0.42,2026-05-13,03:51,N,nominal,2.0NRT,299.36,3.75,D
-33.0191,148.73808,331.91,0.41,0.37,2026-05-13,03:51,N,nominal,2.0NRT,295.31,3.33,D
-33.02256,148.73875,333.14,0.41,0.37,2026-05-13,03:51,N,nominal,2.0NRT,295.03,3.33,D
-33.03773,149.19244,330.1,0.4,0.37,2026-05-13,03:51,N,nominal,2.0NRT,295.29,4.16,D
-33.03726,149.19032,332.56,0.4,0.37,2026-05-13,03:51,N,nominal,2.0NRT,296.77,3.77,D
-32.67253,151.6851,332.37,0.39,0.36,2026-05-13,03:51,N,nominal,2.0NRT,292.99,2.82,D
-33.34365,147.48643,333.14,0.45,0.39,2026-05-13,03:51,N,nominal,2.0NRT,296.31,3.46,D
-34.99697,146.90962,333.07,0.5,0.41,2026-05-13,03:51,N,nominal,2.0NRT,294.81,2.56,D
-34.99317,146.90898,326.81,0.5,0.41,2026-05-13,03:51,N,nominal,2.0NRT,293.78,2.56,D
-34.98306,146.89594,337.47,0.5,0.41,2026-05-13,03:51,N,nominal,2.0NRT,297.03,10.78,D
-34.97798,146.90642,335.16,0.5,0.41,2026-05-13,03:51,N,nominal,2.0NRT,297.3,9.32,D
-34.97862,146.90085,352.9,0.5,0.41,2026-05-13,03:51,N,nominal,2.0NRT,297.79,9.32,D
-34.97482,146.90021,349.64,0.5,0.41,2026-05-13,03:51,N,nominal,2.0NRT,295.69,10.05,D
-34.75885,148.41734,327.01,0.43,0.38,2026-05-13,03:51,N,nominal,2.0NRT,292.86,2.79,D
-34.75946,148.41251,353.17,0.43,0.38,2026-05-13,03:51,N,nominal,2.0NRT,294.21,5.85,D
-34.75531,148.41664,351.24,0.43,0.38,2026-05-13,03:51,N,nominal,2.0NRT,294.25,10.47,D
-34.75591,148.41183,356.48,0.43,0.38,2026-05-13,03:51,N,nominal,2.0NRT,297.21,13.2,D
-34.75652,148.40701,325.82,0.43,0.38,2026-05-13,03:51,N,nominal,2.0NRT,291.39,13.2,D
-34.75689,148.41867,329.34,0.43,0.38,2026-05-13,03:51,N,nominal,2.0NRT,292.56,5.22,D
-34.75752,148.41386,355.52,0.43,0.38,2026-05-13,03:51,N,nominal,2.0NRT,297.51,10.27,D
-34.75814,148.40906,342.87,0.43,0.38,2026-05-13,03:51,N,nominal,2.0NRT,292.78,10.27,D
-34.75397,148.41318,342.57,0.43,0.38,2026-05-13,03:51,N,nominal,2.0NRT,292.39,10.27,D
-34.75459,148.40839,329.03,0.43,0.38,2026-05-13,03:51,N,nominal,2.0NRT,291.82,10.27,D
-34.68456,148.44455,336.7,0.43,0.38,2026-05-13,03:51,N,nominal,2.0NRT,293.33,15.67,D
-34.68517,148.43971,333.73,0.43,0.38,2026-05-13,03:51,N,nominal,2.0NRT,288.88,10.75,D
-34.85021,145.94975,343.26,0.55,0.43,2026-05-13,03:51,N,nominal,2.0NRT,296.25,7.49,D
-34.59623,148.11938,338.73,0.44,0.39,2026-05-13,03:51,N,nominal,2.0NRT,296.05,11.05,D
-34.59684,148.11444,326.71,0.44,0.39,2026-05-13,03:51,N,nominal,2.0NRT,293.06,11.05,D
-34.84623,145.94913,340.94,0.55,0.43,2026-05-13,03:51,N,nominal,2.0NRT,295.81,7.49,D
-34.76634,146.11485,335.98,0.54,0.42,2026-05-13,03:51,N,nominal,2.0NRT,293.58,5.37,D
-34.65532,147.02487,346.59,0.49,0.4,2026-05-13,03:51,N,nominal,2.0NRT,296.18,9.86,D
-34.65596,147.01945,332.75,0.49,0.4,2026-05-13,03:51,N,nominal,2.0NRT,297.11,6.33,D
-34.47725,147.88539,334.6,0.45,0.39,2026-05-13,03:51,N,nominal,2.0NRT,294.3,5.53,D
-34.47788,147.88043,331.84,0.45,0.39,2026-05-13,03:51,N,nominal,2.0NRT,295.53,4.99,D
-34.47364,147.88474,343.9,0.45,0.39,2026-05-13,03:51,N,nominal,2.0NRT,302.56,25.9,D
-34.47426,147.87979,325.85,0.45,0.39,2026-05-13,03:51,N,nominal,2.0NRT,295.32,6.38,D
-34.35653,148.37589,335.67,0.43,0.38,2026-05-13,03:51,N,nominal,2.0NRT,290.09,2.66,D
-34.353,148.3752,343.84,0.43,0.38,2026-05-13,03:51,N,nominal,2.0NRT,294.06,9.94,D
-34.35468,147.23271,331.45,0.48,0.4,2026-05-13,03:51,N,nominal,2.0NRT,297.77,2.3,D
-34.35097,147.23206,331.38,0.48,0.4,2026-05-13,03:51,N,nominal,2.0NRT,297.8,2.3,D
-34.34228,147.24124,327.5,0.48,0.4,2026-05-13,03:51,N,nominal,2.0NRT,298.89,3,D
-34.34291,147.23599,344.71,0.48,0.4,2026-05-13,03:51,N,nominal,2.0NRT,299.12,7.81,D
-34.20247,148.04077,331.77,0.44,0.39,2026-05-13,03:51,N,nominal,2.0NRT,296.79,42,D
-37.98655,143.95953,328.41,0.5,0.49,2026-05-13,03:51,N,nominal,2.0NRT,283.59,7.4,D
-37.98282,143.94756,327.43,0.5,0.49,2026-05-13,03:51,N,nominal,2.0NRT,282.64,2.52,D
-37.9839,143.95697,335.51,0.5,0.49,2026-05-13,03:51,N,nominal,2.0NRT,283.4,4.25,D
-37.95348,144.04228,337.89,0.5,0.49,2026-05-13,03:51,N,nominal,2.0NRT,284.64,4.89,D
-37.86022,143.28838,339.84,0.54,0.51,2026-05-13,03:51,N,nominal,2.0NRT,291.82,5.26,D
-37.85543,143.2878,325.81,0.54,0.51,2026-05-13,03:51,N,nominal,2.0NRT,290.51,2.78,D
-37.79598,143.19478,338.63,0.55,0.51,2026-05-13,03:51,N,nominal,2.0NRT,292.49,4.56,D
-37.72219,143.09312,344.84,0.56,0.51,2026-05-13,03:51,N,nominal,2.0NRT,291.04,36.89,D
-37.19982,148.28786,334.13,0.46,0.39,2026-05-13,03:51,N,nominal,2.0NRT,287.53,3.42,D
-37.73498,142.79433,339.16,0.58,0.52,2026-05-13,03:51,N,nominal,2.0NRT,291.95,4.95,D
-37.73548,142.78757,333.04,0.58,0.52,2026-05-13,03:51,N,nominal,2.0NRT,291.11,4.95,D
-37.50161,143.71339,342.06,0.51,0.5,2026-05-13,03:51,N,nominal,2.0NRT,298.62,51.01,D
-37.50208,143.70741,332.43,0.51,0.5,2026-05-13,03:51,N,nominal,2.0NRT,288.2,16.6,D
-36.99454,147.56299,355.6,0.49,0.4,2026-05-13,03:51,N,nominal,2.0NRT,293.13,11.08,D
-36.99519,147.55719,346.51,0.49,0.4,2026-05-13,03:51,N,nominal,2.0NRT,295.34,8.33,D
-36.99562,147.56213,348.32,0.49,0.4,2026-05-13,03:51,N,nominal,2.0NRT,291.51,5.93,D
-36.9963,147.55635,335.6,0.49,0.4,2026-05-13,03:51,N,nominal,2.0NRT,294.92,5.93,D
-36.99187,147.56129,349.68,0.49,0.4,2026-05-13,03:51,N,nominal,2.0NRT,295.77,12.52,D
-36.99254,147.55557,328.53,0.49,0.4,2026-05-13,03:51,N,nominal,2.0NRT,291.81,12.52,D
-36.83216,147.81354,333.16,0.48,0.4,2026-05-13,03:51,N,nominal,2.0NRT,288.69,4.49,D
-37.25733,142.82776,340.71,0.57,0.52,2026-05-13,03:51,N,nominal,2.0NRT,289.13,5.19,D
-36.80574,145.97522,338.76,0.38,0.44,2026-05-13,03:51,N,nominal,2.0NRT,290.29,9.54,D
-37.00522,143.01784,327.07,0.55,0.51,2026-05-13,03:51,N,nominal,2.0NRT,288.54,2.5,D
-36.82062,141.53319,329.76,0.33,0.55,2026-05-13,03:51,N,nominal,2.0NRT,287.59,3.64,D
-36.82087,141.52928,353.18,0.33,0.55,2026-05-13,03:51,N,nominal,2.0NRT,288.83,3.64,D
